,case,event,startTime,completeTime,creator,variant,variant-index,org:resource,role,Activity
1028,Case223,Closed,2012/04/19 11:31:21.000,2012/04/19 11:31:21.000,Fluxicon Disco,Variant 6,6,Value 5,Value 5,Closed
1029,Case224,Assign seriousness,2012/05/28 13:20:59.000,2012/05/28 13:20:59.000,Fluxicon Disco,Variant 2,2,Value 9,Value 9,Assign seriousness
1030,Case224,Take in charge ticket,2012/05/28 13:21:21.000,2012/05/28 13:21:21.000,Fluxicon Disco,Variant 2,2,Value 9,Value 9,Take in charge ticket
1031,Case224,Wait,2012/05/28 13:41:06.000,2012/05/28 13:41:06.000,Fluxicon Disco,Variant 2,2,Value 9,Value 9,Wait
1032,Case224,Resolve ticket,2012/05/29 07:06:03.000,2012/05/29 07:06:03.000,Fluxicon Disco,Variant 2,2,Value 9,Value 9,Resolve ticket
1033,Case224,Closed,2012/06/28 07:06:32.000,2012/06/28 07:06:32.000,Fluxicon Disco,Variant 2,2,Value 5,Value 5,Closed
1034,Case225,Assign seriousness,2011/07/21 12:48:19.000,2011/07/21 12:48:19.000,Fluxicon Disco,Variant 5,5,Value 9,Value 9,Assign seriousness
1035,Case225,Resolve ticket,2011/07/22 12:05:46.000,2011/07/22 12:05:46.000,Fluxicon Disco,Variant 5,5,Value 13,Value 13,Resolve ticket
1036,Case225,Closed,2011/09/07 12:50:31.000,2011/09/07 12:50:31.000,Fluxicon Disco,Variant 5,5,Value 5,Value 5,Closed
1037,Case226,Assign seriousness,2011/04/11 15:01:34.000,2011/04/11 15:01:34.000,Fluxicon Disco,Variant 1,1,Value 13,Value 13,Assign seriousness
1038,Case226,Take in charge ticket,2011/04/11 15:01:52.000,2011/04/11 15:01:52.000,Fluxicon Disco,Variant 1,1,Value 13,Value 13,Take in charge ticket
1039,Case226,Resolve ticket,2011/04/13 09:20:49.000,2011/04/13 09:20:49.000,Fluxicon Disco,Variant 1,1,Value 9,Value 9,Resolve ticket
1040,Case226,Closed,2011/05/12 15:00:30.000,2011/05/12 15:00:30.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
1041,Case227,Assign seriousness,2011/05/17 08:14:34.000,2011/05/17 08:14:34.000,Fluxicon Disco,Variant 1,1,Value 8,Value 8,Assign seriousness
1042,Case227,Take in charge ticket,2011/05/17 08:14:52.000,2011/05/17 08:14:52.000,Fluxicon Disco,Variant 1,1,Value 8,Value 8,Take in charge ticket
1043,Case227,Resolve ticket,2011/05/20 11:41:53.000,2011/05/20 11:41:53.000,Fluxicon Disco,Variant 1,1,Value 8,Value 8,Resolve ticket
1044,Case227,Closed,2011/06/30 08:20:44.000,2011/06/30 08:20:44.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
1045,Case228,Assign seriousness,2010/09/22 14:39:16.000,2010/09/22 14:39:16.000,Fluxicon Disco,Variant 1,1,Value 14,Value 14,Assign seriousness
1046,Case228,Take in charge ticket,2010/09/23 07:37:42.000,2010/09/23 07:37:42.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Take in charge ticket
1047,Case228,Resolve ticket,2010/09/23 07:38:14.000,2010/09/23 07:38:14.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Resolve ticket
1048,Case228,Closed,2010/11/05 15:40:43.000,2010/11/05 15:40:43.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
1049,Case229,Assign seriousness,2011/11/23 08:44:28.000,2011/11/23 08:44:28.000,Fluxicon Disco,Variant 5,5,Value 1,Value 1,Assign seriousness
1050,Case229,Resolve ticket,2011/11/23 10:21:30.000,2011/11/23 10:21:30.000,Fluxicon Disco,Variant 5,5,Value 2,Value 2,Resolve ticket
1051,Case229,Closed,2012/01/15 08:50:48.000,2012/01/15 08:50:48.000,Fluxicon Disco,Variant 5,5,Value 5,Value 5,Closed
1052,Case230,Assign seriousness,2013/09/05 11:44:56.000,2013/09/05 11:44:56.000,Fluxicon Disco,Variant 17,17,Value 14,Value 14,Assign seriousness
1053,Case230,Assign seriousness,2013/09/05 11:45:51.000,2013/09/05 11:45:51.000,Fluxicon Disco,Variant 17,17,Value 14,Value 14,Assign seriousness
1054,Case230,Take in charge ticket,2013/09/05 11:48:44.000,2013/09/05 11:48:44.000,Fluxicon Disco,Variant 17,17,Value 9,Value 9,Take in charge ticket
1055,Case230,Wait,2013/09/09 14:56:08.000,2013/09/09 14:56:08.000,Fluxicon Disco,Variant 17,17,Value 9,Value 9,Wait
1056,Case230,Resolve ticket,2013/09/27 12:20:43.000,2013/09/27 12:20:43.000,Fluxicon Disco,Variant 17,17,Value 9,Value 9,Resolve ticket
1057,Case230,Closed,2013/10/12 12:20:59.000,2013/10/12 12:20:59.000,Fluxicon Disco,Variant 17,17,Value 3,Value 3,Closed
1058,Case231,Assign seriousness,2010/10/19 13:08:14.000,2010/10/19 13:08:14.000,Fluxicon Disco,Variant 4,4,Value 14,Value 14,Assign seriousness
1059,Case231,Assign seriousness,2010/10/20 15:03:58.000,2010/10/20 15:03:58.000,Fluxicon Disco,Variant 4,4,Value 2,Value 2,Assign seriousness
1060,Case231,Take in charge ticket,2010/10/20 15:04:16.000,2010/10/20 15:04:16.000,Fluxicon Disco,Variant 4,4,Value 2,Value 2,Take in charge ticket
1061,Case231,Resolve ticket,2010/10/21 07:26:29.000,2010/10/21 07:26:29.000,Fluxicon Disco,Variant 4,4,Value 15,Value 15,Resolve ticket
1062,Case231,Closed,2010/12/03 14:10:20.000,2010/12/03 14:10:20.000,Fluxicon Disco,Variant 4,4,Value 5,Value 5,Closed
1063,Case232,Assign seriousness,2013/09/10 07:11:26.000,2013/09/10 07:11:26.000,Fluxicon Disco,Variant 44,44,Value 2,Value 2,Assign seriousness
1064,Case232,Take in charge ticket,2013/09/10 07:15:40.000,2013/09/10 07:15:40.000,Fluxicon Disco,Variant 44,44,Value 2,Value 2,Take in charge ticket
1065,Case232,Wait,2013/09/11 09:47:46.000,2013/09/11 09:47:46.000,Fluxicon Disco,Variant 44,44,Value 2,Value 2,Wait
1066,Case232,Wait,2013/09/18 06:31:36.000,2013/09/18 06:31:36.000,Fluxicon Disco,Variant 44,44,Value 2,Value 2,Wait
1067,Case232,Resolve ticket,2013/09/26 07:48:37.000,2013/09/26 07:48:37.000,Fluxicon Disco,Variant 44,44,Value 14,Value 14,Resolve ticket
1068,Case232,Resolve ticket,2013/09/26 07:48:37.000,2013/09/26 07:48:37.000,Fluxicon Disco,Variant 44,44,Value 14,Value 14,Resolve ticket
1069,Case232,Closed,2013/10/11 07:48:48.000,2013/10/11 07:48:48.000,Fluxicon Disco,Variant 44,44,Value 3,Value 3,Closed
1070,Case233,Assign seriousness,2012/10/19 08:25:05.000,2012/10/19 08:25:05.000,Fluxicon Disco,Variant 2,2,Value 1,Value 1,Assign seriousness
1071,Case233,Take in charge ticket,2012/11/05 10:27:44.000,2012/11/05 10:27:44.000,Fluxicon Disco,Variant 2,2,Value 16,Value 16,Take in charge ticket
1072,Case233,Wait,2012/11/05 13:08:15.000,2012/11/05 13:08:15.000,Fluxicon Disco,Variant 2,2,Value 16,Value 16,Wait
1073,Case233,Resolve ticket,2012/11/21 09:06:35.000,2012/11/21 09:06:35.000,Fluxicon Disco,Variant 2,2,Value 15,Value 15,Resolve ticket
1074,Case233,Closed,2012/12/06 09:06:50.000,2012/12/06 09:06:50.000,Fluxicon Disco,Variant 2,2,Value 3,Value 3,Closed
1075,Case234,Assign seriousness,2010/06/23 14:57:59.000,2010/06/23 14:57:59.000,Fluxicon Disco,Variant 4,4,Value 2,Value 2,Assign seriousness
1076,Case234,Assign seriousness,2010/06/28 11:12:55.000,2010/06/28 11:12:55.000,Fluxicon Disco,Variant 4,4,Value 2,Value 2,Assign seriousness
1077,Case234,Take in charge ticket,2010/07/07 09:10:15.000,2010/07/07 09:10:15.000,Fluxicon Disco,Variant 4,4,Value 2,Value 2,Take in charge ticket
1078,Case234,Resolve ticket,2010/07/07 09:10:30.000,2010/07/07 09:10:30.000,Fluxicon Disco,Variant 4,4,Value 2,Value 2,Resolve ticket
1079,Case234,Closed,2010/08/06 09:10:45.000,2010/08/06 09:10:45.000,Fluxicon Disco,Variant 4,4,Value 5,Value 5,Closed
1080,Case235,Insert ticket,2013/05/02 11:59:40.000,2013/05/02 11:59:40.000,Fluxicon Disco,Variant 51,51,Value 14,Value 14,Insert ticket
1081,Case235,Assign seriousness,2013/05/02 12:00:57.000,2013/05/02 12:00:57.000,Fluxicon Disco,Variant 51,51,Value 2,Value 2,Assign seriousness
1082,Case235,Take in charge ticket,2013/05/02 12:01:18.000,2013/05/02 12:01:18.000,Fluxicon Disco,Variant 51,51,Value 2,Value 2,Take in charge ticket
1083,Case235,Wait,2013/05/02 12:34:45.000,2013/05/02 12:34:45.000,Fluxicon Disco,Variant 51,51,Value 2,Value 2,Wait
1084,Case235,Resolve ticket,2013/06/10 12:10:05.000,2013/06/10 12:10:05.000,Fluxicon Disco,Variant 51,51,Value 2,Value 2,Resolve ticket
1085,Case235,Closed,2013/06/25 12:10:20.000,2013/06/25 12:10:20.000,Fluxicon Disco,Variant 51,51,Value 3,Value 3,Closed
1086,Case236,Assign seriousness,2011/01/19 09:08:18.000,2011/01/19 09:08:18.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Assign seriousness
1087,Case236,Take in charge ticket,2011/02/04 15:33:09.000,2011/02/04 15:33:09.000,Fluxicon Disco,Variant 1,1,Value 9,Value 9,Take in charge ticket
1088,Case236,Resolve ticket,2011/02/07 09:48:08.000,2011/02/07 09:48:08.000,Fluxicon Disco,Variant 1,1,Value 9,Value 9,Resolve ticket
1089,Case236,Closed,2011/02/22 09:48:21.000,2011/02/22 09:48:21.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
1090,Case237,Assign seriousness,2013/08/12 12:14:38.000,2013/08/12 12:14:38.000,Fluxicon Disco,Variant 10,10,Value 4,Value 4,Assign seriousness
1091,Case237,Take in charge ticket,2013/08/26 09:33:33.000,2013/08/26 09:33:33.000,Fluxicon Disco,Variant 10,10,Value 2,Value 2,Take in charge ticket
1092,Case237,Require upgrade,2013/08/28 12:00:20.000,2013/08/28 12:00:20.000,Fluxicon Disco,Variant 10,10,Value 1,Value 1,Require upgrade
1093,Case237,Resolve ticket,2013/08/30 07:10:30.000,2013/08/30 07:10:30.000,Fluxicon Disco,Variant 10,10,Value 1,Value 1,Resolve ticket
1094,Case237,Closed,2013/09/14 07:10:40.000,2013/09/14 07:10:40.000,Fluxicon Disco,Variant 10,10,Value 3,Value 3,Closed
1095,Case238,Assign seriousness,2010/07/23 13:27:40.000,2010/07/23 13:27:40.000,Fluxicon Disco,Variant 1,1,Value 14,Value 14,Assign seriousness
1096,Case238,Take in charge ticket,2010/07/27 06:36:36.000,2010/07/27 06:36:36.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Take in charge ticket
1097,Case238,Resolve ticket,2010/07/27 06:37:32.000,2010/07/27 06:37:32.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Resolve ticket
1098,Case238,Closed,2010/09/05 13:30:28.000,2010/09/05 13:30:28.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
1099,Case239,Assign seriousness,2011/07/14 12:26:36.000,2011/07/14 12:26:36.000,Fluxicon Disco,Variant 1,1,Value 13,Value 13,Assign seriousness
1100,Case239,Take in charge ticket,2011/07/14 14:50:15.000,2011/07/14 14:50:15.000,Fluxicon Disco,Variant 1,1,Value 6,Value 6,Take in charge ticket
1101,Case239,Resolve ticket,2011/08/03 07:14:00.000,2011/08/03 07:14:00.000,Fluxicon Disco,Variant 1,1,Value 6,Value 6,Resolve ticket
1102,Case239,Closed,2011/08/18 07:14:13.000,2011/08/18 07:14:13.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
1103,Case240,Assign seriousness,2011/07/27 14:30:16.000,2011/07/27 14:30:16.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Assign seriousness
1104,Case240,Take in charge ticket,2011/08/02 14:54:16.000,2011/08/02 14:54:16.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Take in charge ticket
1105,Case240,Resolve ticket,2011/08/10 11:43:40.000,2011/08/10 11:43:40.000,Fluxicon Disco,Variant 1,1,Value 12,Value 12,Resolve ticket
1106,Case240,Closed,2011/08/27 14:40:15.000,2011/08/27 14:40:15.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
1107,Case241,Assign seriousness,2012/05/17 14:53:08.000,2012/05/17 14:53:08.000,Fluxicon Disco,Variant 1,1,Value 1,Value 1,Assign seriousness
1108,Case241,Take in charge ticket,2012/05/18 05:58:20.000,2012/05/18 05:58:20.000,Fluxicon Disco,Variant 1,1,Value 6,Value 6,Take in charge ticket
1109,Case241,Resolve ticket,2012/05/21 07:27:17.000,2012/05/21 07:27:17.000,Fluxicon Disco,Variant 1,1,Value 16,Value 16,Resolve ticket
1110,Case241,Closed,2012/06/30 15:03:05.000,2012/06/30 15:03:05.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
1111,Case242,Assign seriousness,2012/08/02 08:26:04.000,2012/08/02 08:26:04.000,Fluxicon Disco,Variant 1,1,Value 13,Value 13,Assign seriousness
1112,Case242,Take in charge ticket,2012/08/22 13:24:49.000,2012/08/22 13:24:49.000,Fluxicon Disco,Variant 1,1,Value 3,Value 3,Take in charge ticket
1113,Case242,Resolve ticket,2012/08/22 13:28:26.000,2012/08/22 13:28:26.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Resolve ticket
1114,Case242,Closed,2012/09/06 13:28:38.000,2012/09/06 13:28:38.000,Fluxicon Disco,Variant 1,1,Value 3,Value 3,Closed
1115,Case243,Assign seriousness,2012/06/20 13:41:25.000,2012/06/20 13:41:25.000,Fluxicon Disco,Variant 1,1,Value 13,Value 13,Assign seriousness
1116,Case243,Take in charge ticket,2012/06/20 13:44:02.000,2012/06/20 13:44:02.000,Fluxicon Disco,Variant 1,1,Value 13,Value 13,Take in charge ticket
1117,Case243,Resolve ticket,2012/06/20 13:44:33.000,2012/06/20 13:44:33.000,Fluxicon Disco,Variant 1,1,Value 13,Value 13,Resolve ticket
1118,Case243,Closed,2012/07/27 13:50:28.000,2012/07/27 13:50:28.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
1119,Case244,Assign seriousness,2010/11/24 16:02:59.000,2010/11/24 16:02:59.000,Fluxicon Disco,Variant 1,1,Value 14,Value 14,Assign seriousness
1120,Case244,Take in charge ticket,2010/11/24 16:21:52.000,2010/11/24 16:21:52.000,Fluxicon Disco,Variant 1,1,Value 14,Value 14,Take in charge ticket
1121,Case244,Resolve ticket,2010/11/24 16:22:00.000,2010/11/24 16:22:00.000,Fluxicon Disco,Variant 1,1,Value 14,Value 14,Resolve ticket
1122,Case244,Closed,2011/01/08 16:00:35.000,2011/01/08 16:00:35.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
1123,Case245,Assign seriousness,2010/04/28 14:21:11.000,2010/04/28 14:21:11.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Assign seriousness
1124,Case245,Take in charge ticket,2010/04/29 09:15:16.000,2010/04/29 09:15:16.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Take in charge ticket
1125,Case245,Resolve ticket,2010/05/03 11:56:35.000,2010/05/03 11:56:35.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Resolve ticket
1126,Case245,Closed,2010/05/29 14:30:18.000,2010/05/29 14:30:18.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
1127,Case246,Assign seriousness,2010/10/27 14:21:46.000,2010/10/27 14:21:46.000,Fluxicon Disco,Variant 4,4,Value 2,Value 2,Assign seriousness
1128,Case246,Assign seriousness,2010/11/02 13:57:09.000,2010/11/02 13:57:09.000,Fluxicon Disco,Variant 4,4,Value 2,Value 2,Assign seriousness
1129,Case246,Take in charge ticket,2010/11/02 13:57:16.000,2010/11/02 13:57:16.000,Fluxicon Disco,Variant 4,4,Value 2,Value 2,Take in charge ticket
1130,Case246,Resolve ticket,2010/11/02 13:57:22.000,2010/11/02 13:57:22.000,Fluxicon Disco,Variant 4,4,Value 2,Value 2,Resolve ticket
1131,Case246,Closed,2010/12/15 15:30:20.000,2010/12/15 15:30:20.000,Fluxicon Disco,Variant 4,4,Value 5,Value 5,Closed
1132,Case247,Insert ticket,2012/08/10 05:59:37.000,2012/08/10 05:59:37.000,Fluxicon Disco,Variant 64,64,Value 4,Value 4,Insert ticket
1133,Case247,Take in charge ticket,2012/08/10 06:02:47.000,2012/08/10 06:02:47.000,Fluxicon Disco,Variant 64,64,Value 4,Value 4,Take in charge ticket
1134,Case247,Resolve ticket,2012/08/10 06:18:58.000,2012/08/10 06:18:58.000,Fluxicon Disco,Variant 64,64,Value 4,Value 4,Resolve ticket
1135,Case247,Closed,2012/09/12 15:00:35.000,2012/09/12 15:00:35.000,Fluxicon Disco,Variant 64,64,Value 5,Value 5,Closed
1136,Case248,Assign seriousness,2011/11/08 12:32:15.000,2011/11/08 12:32:15.000,Fluxicon Disco,Variant 8,8,Value 4,Value 4,Assign seriousness
1137,Case248,Resolve ticket,2011/11/09 07:39:45.000,2011/11/09 07:39:45.000,Fluxicon Disco,Variant 8,8,Value 6,Value 6,Resolve ticket
1138,Case248,Resolve ticket,2011/11/09 07:39:46.000,2011/11/09 07:39:46.000,Fluxicon Disco,Variant 8,8,Value 6,Value 6,Resolve ticket
1139,Case248,Closed,2011/12/22 12:41:13.000,2011/12/22 12:41:13.000,Fluxicon Disco,Variant 8,8,Value 5,Value 5,Closed
1140,Case249,Assign seriousness,2011/04/20 06:34:05.000,2011/04/20 06:34:05.000,Fluxicon Disco,Variant 1,1,Value 8,Value 8,Assign seriousness
1141,Case249,Take in charge ticket,2011/04/20 06:35:25.000,2011/04/20 06:35:25.000,Fluxicon Disco,Variant 1,1,Value 8,Value 8,Take in charge ticket
1142,Case249,Resolve ticket,2011/04/27 08:53:20.000,2011/04/27 08:53:20.000,Fluxicon Disco,Variant 1,1,Value 13,Value 13,Resolve ticket
1143,Case249,Closed,2011/05/21 06:40:39.000,2011/05/21 06:40:39.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
1144,Case250,Assign seriousness,2011/02/22 16:06:59.000,2011/02/22 16:06:59.000,Fluxicon Disco,Variant 1,1,Value 13,Value 13,Assign seriousness
1145,Case250,Take in charge ticket,2011/02/22 16:07:16.000,2011/02/22 16:07:16.000,Fluxicon Disco,Variant 1,1,Value 13,Value 13,Take in charge ticket
1146,Case250,Resolve ticket,2011/02/28 09:43:36.000,2011/02/28 09:43:36.000,Fluxicon Disco,Variant 1,1,Value 16,Value 16,Resolve ticket
1147,Case250,Closed,2011/04/07 15:00:44.000,2011/04/07 15:00:44.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
1148,Case251,Assign seriousness,2012/06/26 13:50:34.000,2012/06/26 13:50:34.000,Fluxicon Disco,Variant 1,1,Value 1,Value 1,Assign seriousness
1149,Case251,Take in charge ticket,2012/07/03 06:44:06.000,2012/07/03 06:44:06.000,Fluxicon Disco,Variant 1,1,Value 9,Value 9,Take in charge ticket
1150,Case251,Resolve ticket,2012/07/06 07:50:50.000,2012/07/06 07:50:50.000,Fluxicon Disco,Variant 1,1,Value 9,Value 9,Resolve ticket
1151,Case251,Closed,2012/07/27 14:00:21.000,2012/07/27 14:00:21.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
1152,Case252,Assign seriousness,2011/01/19 13:55:14.000,2011/01/19 13:55:14.000,Fluxicon Disco,Variant 9,9,Value 14,Value 14,Assign seriousness
1153,Case252,Take in charge ticket,2011/01/19 13:55:35.000,2011/01/19 13:55:35.000,Fluxicon Disco,Variant 9,9,Value 14,Value 14,Take in charge ticket
1154,Case252,Resolve ticket,2011/01/20 14:21:38.000,2011/01/20 14:21:38.000,Fluxicon Disco,Variant 9,9,Value 14,Value 14,Resolve ticket
1155,Case252,Take in charge ticket,2011/01/24 12:38:44.000,2011/01/24 12:38:44.000,Fluxicon Disco,Variant 9,9,Value 2,Value 2,Take in charge ticket
1156,Case252,Resolve ticket,2011/02/28 08:40:26.000,2011/02/28 08:40:26.000,Fluxicon Disco,Variant 9,9,Value 2,Value 2,Resolve ticket
1157,Case252,Closed,2011/03/15 08:40:47.000,2011/03/15 08:40:47.000,Fluxicon Disco,Variant 9,9,Value 5,Value 5,Closed
1158,Case253,Assign seriousness,2012/10/01 14:49:38.000,2012/10/01 14:49:38.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Assign seriousness
1159,Case253,Take in charge ticket,2012/10/01 14:51:03.000,2012/10/01 14:51:03.000,Fluxicon Disco,Variant 1,1,Value 3,Value 3,Take in charge ticket
1160,Case253,Resolve ticket,2012/10/22 13:13:31.000,2012/10/22 13:13:31.000,Fluxicon Disco,Variant 1,1,Value 13,Value 13,Resolve ticket
1161,Case253,Closed,2012/11/06 14:13:45.000,2012/11/06 14:13:45.000,Fluxicon Disco,Variant 1,1,Value 3,Value 3,Closed
1162,Case254,Assign seriousness,2010/11/23 08:55:28.000,2010/11/23 08:55:28.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Assign seriousness
1163,Case254,Take in charge ticket,2010/11/30 13:09:41.000,2010/11/30 13:09:41.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Take in charge ticket
1164,Case254,Resolve ticket,2010/11/30 13:10:42.000,2010/11/30 13:10:42.000,Fluxicon Disco,Variant 1,1,Value 2,Value 2,Resolve ticket
1165,Case254,Closed,2011/01/09 09:02:17.000,2011/01/09 09:02:17.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
1166,Case255,Assign seriousness,2012/03/06 07:24:19.000,2012/03/06 07:24:19.000,Fluxicon Disco,Variant 1,1,Value 4,Value 4,Assign seriousness
1167,Case255,Take in charge ticket,2012/03/06 12:39:56.000,2012/03/06 12:39:56.000,Fluxicon Disco,Variant 1,1,Value 9,Value 9,Take in charge ticket
1168,Case255,Resolve ticket,2012/03/06 13:07:30.000,2012/03/06 13:07:30.000,Fluxicon Disco,Variant 1,1,Value 9,Value 9,Resolve ticket
1169,Case255,Closed,2012/04/13 06:30:29.000,2012/04/13 06:30:29.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
1170,Case256,Assign seriousness,2011/01/11 15:41:38.000,2011/01/11 15:41:38.000,Fluxicon Disco,Variant 1,1,Value 13,Value 13,Assign seriousness
1171,Case256,Take in charge ticket,2011/01/27 09:59:56.000,2011/01/27 09:59:56.000,Fluxicon Disco,Variant 1,1,Value 13,Value 13,Take in charge ticket
1172,Case256,Resolve ticket,2011/01/27 10:00:26.000,2011/01/27 10:00:26.000,Fluxicon Disco,Variant 1,1,Value 13,Value 13,Resolve ticket
1173,Case256,Closed,2011/02/11 10:00:42.000,2011/02/11 10:00:42.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
1174,Case257,Assign seriousness,2011/01/28 10:42:47.000,2011/01/28 10:42:47.000,Fluxicon Disco,Variant 1,1,Value 8,Value 8,Assign seriousness
1175,Case257,Take in charge ticket,2011/02/09 12:50:46.000,2011/02/09 12:50:46.000,Fluxicon Disco,Variant 1,1,Value 8,Value 8,Take in charge ticket
1176,Case257,Resolve ticket,2011/02/09 12:50:56.000,2011/02/09 12:50:56.000,Fluxicon Disco,Variant 1,1,Value 8,Value 8,Resolve ticket
1177,Case257,Closed,2011/03/13 10:50:25.000,2011/03/13 10:50:25.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
1178,Case258,Assign seriousness,2010/12/02 08:21:12.000,2010/12/02 08:21:12.000,Fluxicon Disco,Variant 3,3,Value 9,Value 9,Assign seriousness
1179,Case258,Take in charge ticket,2010/12/02 09:16:17.000,2010/12/02 09:16:17.000,Fluxicon Disco,Variant 3,3,Value 9,Value 9,Take in charge ticket
1180,Case258,Wait,2010/12/02 09:16:35.000,2010/12/02 09:16:35.000,Fluxicon Disco,Variant 3,3,Value 9,Value 9,Wait
1181,Case258,Take in charge ticket,2010/12/06 15:45:40.000,2010/12/06 15:45:40.000,Fluxicon Disco,Variant 3,3,Value 2,Value 2,Take in charge ticket
1182,Case258,Resolve ticket,2010/12/06 15:45:48.000,2010/12/06 15:45:48.000,Fluxicon Disco,Variant 3,3,Value 2,Value 2,Resolve ticket
1183,Case258,Closed,2011/01/14 15:00:39.000,2011/01/14 15:00:39.000,Fluxicon Disco,Variant 3,3,Value 5,Value 5,Closed
1184,Case259,Assign seriousness,2010/03/23 07:10:15.000,2010/03/23 07:10:15.000,Fluxicon Disco,Variant 4,4,Value 2,Value 2,Assign seriousness
1185,Case259,Assign seriousness,2010/03/24 07:39:07.000,2010/03/24 07:39:07.000,Fluxicon Disco,Variant 4,4,Value 10,Value 10,Assign seriousness
1186,Case259,Take in charge ticket,2010/03/24 07:39:20.000,2010/03/24 07:39:20.000,Fluxicon Disco,Variant 4,4,Value 10,Value 10,Take in charge ticket
1187,Case259,Resolve ticket,2010/05/06 06:36:35.000,2010/05/06 06:36:35.000,Fluxicon Disco,Variant 4,4,Value 10,Value 10,Resolve ticket
1188,Case259,Closed,2010/05/21 06:36:57.000,2010/05/21 06:36:57.000,Fluxicon Disco,Variant 4,4,Value 5,Value 5,Closed
1189,Case260,Assign seriousness,2010/10/18 12:15:06.000,2010/10/18 12:15:06.000,Fluxicon Disco,Variant 4,4,Value 14,Value 14,Assign seriousness
1190,Case260,Assign seriousness,2010/10/18 12:29:40.000,2010/10/18 12:29:40.000,Fluxicon Disco,Variant 4,4,Value 14,Value 14,Assign seriousness
1191,Case260,Take in charge ticket,2010/10/19 09:17:06.000,2010/10/19 09:17:06.000,Fluxicon Disco,Variant 4,4,Value 14,Value 14,Take in charge ticket
1192,Case260,Resolve ticket,2010/11/15 12:47:26.000,2010/11/15 12:47:26.000,Fluxicon Disco,Variant 4,4,Value 14,Value 14,Resolve ticket
1193,Case260,Closed,2010/11/30 12:47:45.000,2010/11/30 12:47:45.000,Fluxicon Disco,Variant 4,4,Value 5,Value 5,Closed
1194,Case261,Assign seriousness,2012/07/30 09:55:26.000,2012/07/30 09:55:26.000,Fluxicon Disco,Variant 1,1,Value 4,Value 4,Assign seriousness
1195,Case261,Take in charge ticket,2012/07/30 09:55:48.000,2012/07/30 09:55:48.000,Fluxicon Disco,Variant 1,1,Value 4,Value 4,Take in charge ticket
1196,Case261,Resolve ticket,2012/07/30 12:14:37.000,2012/07/30 12:14:37.000,Fluxicon Disco,Variant 1,1,Value 4,Value 4,Resolve ticket
1197,Case261,Closed,2012/09/01 07:14:21.000,2012/09/01 07:14:21.000,Fluxicon Disco,Variant 1,1,Value 5,Value 5,Closed
1198,Case262,Assign seriousness,2013/01/29 15:05:40.000,2013/01/29 15:05:40.000,Fluxicon Disco,Variant 99,99,Value 1,Value 1,Assign seriousness
1199,Case262,Take in charge ticket,2013/02/05 10:55:30.000,2013/02/05 10:55:30.000,Fluxicon Disco,Variant 99,99,Value 2,Value 2,Take in charge ticket
1200,Case262,Wait,2013/02/06 08:11:35.000,2013/02/06 08:11:35.000,Fluxicon Disco,Variant 99,99,Value 9,Value 9,Wait
1201,Case262,Resolve ticket,2013/02/12 16:06:06.000,2013/02/12 16:06:06.000,Fluxicon Disco,Variant 99,99,Value 9,Value 9,Resolve ticket
1202,Case262,Wait,2013/02/12 16:06:51.000,2013/02/12 16:06:51.000,Fluxicon Disco,Variant 99,99,Value 9,Value 9,Wait
1203,Case262,Resolve ticket,2013/02/18 10:02:06.000,2013/02/18 10:02:06.000,Fluxicon Disco,Variant 99,99,Value 9,Value 9,Resolve ticket
